Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784241026,10,POST,/query [out-of-domain],0.200000,0.000000,1800,1800,3200,3200,3200,3200,3200,3200,3200,3200,3200,4,1,1800,2200.9338132520497,1759.5417920019827,3190.140834005433,743.25
1784241026,10,,Aggregated,1.100000,0.000000,7900,8600,8600,8600,10000,11000,11000,11000,11000,11000,11000,21,2,7800,6977.787469237574,1759.5417920019827,11460.861587998806,5833.9047619047615
1784241027,10,POST,/query [on-topic],0.900000,0.000000,8000,8600,8600,9200,11000,11000,11000,11000,11000,11000,11000,18,1,7900,8165.220834498743,5895.180835002975,11460.861587998806,6848.722222222223
1784241027,10,POST,/query [out-of-domain],0.100000,0.000000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,4,1,1800,2200.9338132520497,1759.5417920019827,3190.140834005433,743.25
1784241027,10,,Aggregated,1.000000,0.000000,7900,8600,8600,8600,9200,11000,11000,11000,11000,11000,11000,22,2,7800,7080.8050124538895,1759.5417920019827,11460.861587998806,5738.636363636364
1784241028,10,POST,/query [on-topic],0.900000,0.000000,8000,8600,8600,9200,11000,11000,11000,11000,11000,11000,11000,18,1,7900,8165.220834498743,5895.180835002975,11460.861587998806,6848.722222222223
1784241028,10,POST,/query [out-of-domain],0.100000,0.000000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,4,1,1800,2200.9338132520497,1759.5417920019827,3190.140834005433,743.25
1784241028,10,,Aggregated,1.000000,0.000000,7900,8600,8600,8600,9200,11000,11000,11000,11000,11000,11000,22,2,7800,7080.8050124538895,1759.5417920019827,11460.861587998806,5738.636363636364
1784241029,10,POST,/query [on-topic],0.900000,0.000000,8000,8600,8600,9200,11000,11000,11000,11000,11000,11000,11000,18,1,7900,8165.220834498743,5895.180835002975,11460.861587998806,6848.722222222223
1784241029,10,POST,/query [out-of-domain],0.100000,0.000000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,4,1,1800,2200.9338132520497,1759.5417920019827,3190.140834005433,743.25
1784241029,10,,Aggregated,1.000000,0.000000,7900,8600,8600,8600,9200,11000,11000,11000,11000,11000,11000,22,2,7800,7080.8050124538895,1759.5417920019827,11460.861587998806,5738.636363636364
1784241030,10,POST,/query [on-topic],0.900000,0.000000,7900,8000,8600,9200,11000,11000,11000,11000,11000,11000,11000,20,1,7900,7954.397017998781,5895.180835002975,11460.861587998806,6733.1
1784241030,10,POST,/query [out-of-domain],0.200000,0.100000,3200,3200,5000,5000,5000,5000,5000,5000,5000,5000,5000,6,2,1800,2562.2760010010097,1609.5037089980906,4960.417043999769,1096.6666666666667
1784241030,10,,Aggregated,1.100000,0.100000,7100,7900,8000,8600,9200,11000,11000,11000,11000,11000,11000,26,3,7500,6710.061398691603,1609.5037089980906,11460.861587998806,5432.384615384615
1784241031,10,POST,/query [on-topic],0.900000,0.000000,7900,8000,8600,9200,11000,11000,11000,11000,11000,11000,11000,21,1,7900,7842.015356522877,5594.382127004792,11460.861587998806,6661.476190476191
1784241031,10,POST,/query [out-of-domain],0.200000,0.100000,1800,3200,3200,5000,5000,5000,5000,5000,5000,5000,5000,7,2,1800,2445.2511201431794,1609.5037089980906,4960.417043999769,1023.4285714285714
1784241031,10,,Aggregated,1.100000,0.100000,7100,7900,8000,8600,9200,11000,11000,11000,11000,11000,11000,28,3,7100,6492.824297427952,1609.5037089980906,11460.861587998806,5251.964285714285
1784241032,10,POST,/query [on-topic],0.900000,0.000000,7100,8000,9200,9200,11000,11000,11000,11000,11000,11000,11000,21,1,7900,7842.015356522877,5594.382127004792,11460.861587998806,6661.476190476191
1784241032,10,POST,/query [out-of-domain],0.200000,0.100000,1800,3200,3200,5000,5000,5000,5000,5000,5000,5000,5000,7,2,1800,2445.2511201431794,1609.5037089980906,4960.417043999769,1023.4285714285714
1784241032,10,,Aggregated,1.100000,0.100000,6000,7100,8000,8000,9200,11000,11000,11000,11000,11000,11000,28,3,7100,6492.824297427952,1609.5037089980906,11460.861587998806,5251.964285714285
1784241033,10,POST,/query [on-topic],1.000000,0.000000,7600,8000,9200,9200,11000,11000,11000,11000,11000,11000,11000,22,1,7800,7829.28071736288,5594.382127004792,11460.861587998806,6617.363636363636
1784241033,10,POST,/query [out-of-domain],0.300000,0.200000,3200,3200,5000,5000,5000,5000,5000,5000,5000,5000,5000,7,2,1800,2445.2511201431794,1609.5037089980906,4960.417043999769,1023.4285714285714
1784241033,10,,Aggregated,1.300000,0.200000,6100,7100,8000,8000,9200,11000,11000,11000,11000,11000,11000,29,3,7500,6529.687366309849,1609.5037089980906,11460.861587998806,5267.103448275862
1784241034,10,POST,/query [on-topic],1.000000,0.000000,7600,8000,8600,9200,11000,11000,11000,11000,11000,11000,11000,24,1,7800,7843.868583291017,5594.382127004792,11460.861587998806,6790.708333333333
1784241034,10,POST,/query [out-of-domain],0.400000,0.200000,3200,3200,5000,5000,5000,5000,5000,5000,5000,5000,5000,7,2,1800,2445.2511201431794,1609.5037089980906,4960.417043999769,1023.4285714285714
1784241034,10,,Aggregated,1.400000,0.200000,6000,7400,7600,7600,8600,9200,9200,9200,9200,9200,9200,31,3,7500,6624.82593032215,1609.5037089980906,11460.861587998806,5488.419354838709
1784241035,10,POST,/query [on-topic],0.700000,0.000000,7400,7600,8600,8600,9200,9200,9200,9200,9200,9200,9200,24,1,7800,7843.868583291017,5594.382127004792,11460.861587998806,6790.708333333333
1784241035,10,POST,/query [out-of-domain],0.400000,0.200000,1800,3200,3200,5000,5000,5000,5000,5000,5000,5000,5000,8,2,1800,2359.643381250862,1609.5037089980906,4960.417043999769,968.375
1784241035,10,,Aggregated,1.100000,0.200000,6000,6100,7600,7600,8600,9200,9200,9200,9200,9200,9200,32,3,7400,6472.812282780978,1609.5037089980906,11460.861587998806,5335.125
